"Reservoir","Reservoir_type","Year","Cyanobacteria_Max_cells/ml","logCyanoMax_cells/ml","Chlorophyll_a_ug/l","Secchi_cm","TP_ppb","P_dissolved_ppb","TKN_ppm","NH3_ppm","NOx_ppm","TOC_ppm","Alkalinity_ppm","NH36to8inflow_ppm","TKN6to8inflow_ppm","NOx6to8inflow_ppm","TP6to8inflow_ppb","TOC6to8inflow_ppm","Summer_precip_inches","Summer_precip_Z-score","mayST_Celsius","junST_Celsius","julST_Celsius","augST_Celsius","mayDO_mg/l","junDO_mg/l","mayDT_Celsius","junDT_Celsius","julDT_Celsius","augDT_Celsius"
"CHL",3,1997,"na","na","4.33","58.0","na","na","na","na","2.630","4.39","na","na","na","0.371","na","6.9",8.95,-0.749,"15.44","21.77","27.57","25.39","6.86","3.29","13.36","15.71","17.55","18.53"
"CHL",3,2000,"29638.5","4.472","na","20.0","na","na","na","na","na","na","na","na","na","na","na","na",15.89,1.122,"19.54","24.16","26.87","26.35","na","2.51","na","16.90","19.13","19.68"
"CHL",3,2004,"31371.5","4.497","na","32.0","na","na","na","na","na","na","na","na","na","na","na","na",12.15,0.114,"19.82","25.24","26.38","24.86","2.64","1.12","13.96","18.92","21.61","21.20"
"CHL",3,2005,"57073.0","4.756","na","38.0","na","na","na","na","na","na","na","na","na","na","na","na",14.53,0.755,"18.43","24.91","26.98","27.74","5.81","0.51","12.91","16.41","17.89","20.34"
"CHL",3,2006,"53024.8","4.724","na","39.3","na","na","na","na","na","na","na","na","na","na","na","na",9.39,-0.63,"17.62","25.61","26.19","27.95","4.79","1.28","14.22","17.30","20.52","21.87"
"CHL",3,2008,"55698.8","4.746","na","42.0","52.0","na","0.806","0.142","1.560","10.88","110.0","0.082","0.835","4.850","165.0","21.5",18.18,1.739,"15.61","23.71","26.29","26.90","6.60","1.57","13.30","18.11","22.53","25.51"
"CHL",3,2009,"na","na","na","42.0","83.6","na","0.859","0.106","8.179","12.11","145.0","0.195","1.300","9.250","160.0","13.5",12.79,0.286,"18.20","26.29","26.50","26.22","3.78","0.60","14.37","18.50","21.19","22.61"
"CHL",3,2014,"na","na","na","72.0","35.8","na","1.750","0.089","0.883","4.30","126.0","na","na","na","na","na",7.44,-1.156,"na","na","24.90","na","na","na","na","na","17.32","na"
"CHL",3,2015,"463806.6","5.666","18.40","38.0","4.4","na","1.060","0.094","0.816","5.26","128.0","0.080","0.600","2.650","2.0","2.8",13.1,0.37,"na","na","25.80","26.91","na","na","na","na","21.10","22.28"
"CHL",3,2018,"5320729.4","6.726","24.98","30.0","75.8","46.8","1.227","0.091","1.193","8.21","109.5","0.044","0.451","4.510","122.0","4.7",14.2,0.666,"19.26","26.50","27.90","na","6.34","0.51","11.27","14.90","21.58","21.26"
"CMR",3,1987,"na","na","71.20","24.0","5.0","5","0.400","0.050","1.050","6.00","116.0","0.100","0.400","1.500","108.0","4.0",18.79,1.555,"na","na","na","na","na","na","na","na","na","na"
"CMR",3,1988,"na","na","23.00","36.0","70.0","na","0.400","0.050","1.500","2.50","108.5","0.000","0.250","1.075","85.0","3.0",8.74,-1.028,"na","na","na","na","na","na","na","na","na","na"
"CMR",3,1990,"na","na","14.23","15.8","183.7","100.1818182","0.809","0.468","1.390","4.91","83.0","0.000","0.467","1.900","88.7","2.2",13.89,0.296,"16.11","23.84","27.54","25.42","9.13","8.73","11.53","15.87","19.13","20.93"
"CMR",3,1991,"na","na","na","na","28.3","5","0.581","0.250","0.567","6.67","121.0","0.000","0.350","0.350","48.0","6.0",11.79,-0.244,"22.23","27.08","27.85","26.41","4.58","0.81","12.10","14.62","17.63","19.14"
"CMR",3,1993,"51040.0","4.708","na","37.0","na","na","na","0.200","na","4.00","104.0","0.200","na","na","na","3.0",19.62,1.768,"17.79","23.85","27.71","26.64","7.54","5.14","13.01","17.00","20.95","21.66"
"CMR",3,1994,"na","na","19.22","20.0","na","na","na","na","na","8.00","na","na","na","na","na","13.7",11.2,-0.396,"18.53","25.55","28.60","25.85","3.03","0.20","12.34","16.79","20.33","20.96"
"CMR",3,1999,"42653.4","4.630","na","28.0","40.0","50","na","na","na","7.00","83.0","na","0.400","0.260","70.0","3.8",11.75,-0.254,"21.50","24.30","29.91","26.85","1.77","0.25","13.92","17.82","19.47","20.59"
"CMR",3,2001,"39080.5","4.592","na","38.0","na","na","na","na","na","na","na","na","na","na","na","na",16.53,0.974,"22.65","23.46","27.83","28.94","1.00","0.77","15.45","17.73","19.39","22.01"
"CMR",3,2002,"10765.4","4.032","na","37.0","na","na","na","na","na","na","na","na","na","na","na","na",10.15,-0.666,"20.60","25.31","30.46","28.22","5.53","1.43","13.42","16.13","19.98","21.35"
"CMR",3,2005,"43400.0","4.637","na","31.0","na","na","na","na","na","na","na","na","na","na","na","na",19.08,1.63,"20.15","27.15","28.56","29.56","4.56","0.50","13.58","17.71","20.39","22.25"
